Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
The Ballad of Songbirds and Snakes,,"In this prequel to the Hunger Games trilogy, Coriolanus Snow mentors a tribute in the 10th Hunger Games.",https://cdn.vocabulary.com/units/gn7gcdmm/cover.jpg?width=220&v=17599bfd3e6,https://www.amazon.com/dp/1338635174?tag=vocabulary01-20,Suzanne Collins,Literature,/lists/gn7gcdmm/ballad-of-songbirds-and-snakes
The Downstairs Girl,,"In 19th-century Atlanta, Jo Kuan works as a lady's maid while secretly penning a controversial advice column and attempting to learn the truth about her past.",https://cdn.vocabulary.com/units/gnsyo6qp/cover.jpeg?width=220&v=16fd4044ef7,https://www.amazon.com/dp/1524740950?tag=vocabulary01-20,Stacey Lee,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/gnsyo6qp/downstairs-girl
Zara's Rules for Record-Breaking Fun,,"When a new family moves in across the street, ten-and-three-quarters-year-old Zara Saleem decides that she must break a Guinness World Record to remain queen of her Maryland neighborhood.",https://cdn.vocabulary.com/units/gnuoim7y/cover.png?width=220&v=18e57c9178d,https://www.amazon.com/dp/1534497587?tag=vocabulary01-20,Hena Khan,Literature,/lists/gnuoim7y/zaras-rules-for-record-breaking-fun
"The Tragedy of Hamlet, Prince of Denmark",,Shakespeare's famous tragedy tells the story of a Danish prince who must decide whether or not to avenge his father's death. Read the full text here.,https://cdn.vocabulary.com/units/gp2h3mum/cover.jpeg?width=220&v=17b0831bd57,https://www.amazon.com/dp/074347712X?tag=vocabulary01-20,William Shakespeare,"Grade 11,Grade 12,Literature",/lists/gp2h3mum/tragedy-of-hamlet-prince-of-denmark
The Lesbiana's Guide to Catholic School,,Sixteen-year-old Yamilet Flores is a queer Mexican-American girl who navigates Catholic school and first love while learning to be authentic to herself.,https://cdn.vocabulary.com/units/gp7ue5xp/cover.jpg?width=220&v=18f2b01ad09,https://www.amazon.com/dp/006306023X?tag=vocabulary01-20,Sonora Reyes,Literature,/lists/gp7ue5xp/lesbianas-guide-to-catholic-school
Why We Fly,,High school cheerleaders Eleanor and Chanel face a tumultuous senior year after their decision to kneel during the national anthem at the first football game of the season.,https://cdn.vocabulary.com/units/gpr5ngqq/cover.jpeg?width=220&v=17e7d1ae21a,https://www.amazon.com/dp/1492678929?tag=vocabulary01-20,Kimberly Jones,Literature,/lists/gpr5ngqq/why-we-fly
Rebecca,,"The young and naive narrator of this novel marries a wealthy widower and moves to his stately mansion, where she uncovers dark secrets about his first wife.",https://cdn.vocabulary.com/units/gqua7q34/cover.jpeg?width=220&v=16c2568b8a9,https://www.amazon.com/dp/0380730405?tag=vocabulary01-20,Daphne du Maurier,Just for Fun,/lists/gqua7q34/rebecca
Pashmina,,"In this graphic novel, a teen girl discovers a magical shawl and learns about her family's history in India.",https://cdn.vocabulary.com/units/grug5o2n/cover.jpeg?width=220&v=16d26df9e45,https://www.amazon.com/dp/1626720878?tag=vocabulary01-20,Nidhi Chanani,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/grug5o2n/pashmina
Pride and Prejudice,,Elizabeth Bennet and Mr. Darcy instantly loathe one another when they first meet. Can they overcome their first impressions? Read the full text here.,https://cdn.vocabulary.com/units/gsyoh5tt/cover.jpeg?width=220&v=181cf17bdb5,https://www.amazon.com/dp/0141439513?tag=vocabulary01-20,Jane Austen,"Grade 10,Grade 11,Grade 12,Just for Fun",/lists/gsyoh5tt/pride-and-prejudice
When I Was Puerto Rican,,"In this memoir, Santiago details her childhood in Puerto Rico and her family's emigration to the United States.",https://cdn.vocabulary.com/units/gt6gpkxc/cover.jpeg?width=220&v=16c49ddbca2,https://www.amazon.com/dp/0306814528?tag=vocabulary01-20,Esmeralda Santiago,Literature,/lists/gt6gpkxc/when-i-was-puerto-rican
