Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
The Rise and Fall of Charles Lindbergh,,"This biography of the explores the famed aviator's childhood, flying career, and eventual attraction to eugenics and Nazism.",https://cdn.vocabulary.com/units/titdlevl/cover.jpeg?width=220&v=1752358ba12,https://www.amazon.com/dp/052564654X?tag=vocabulary01-20,Candace Fleming,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/titdlevl/rise-and-fall-of-charles-lindbergh
5th Grade Math Vocabulary,,"Explore a comprehensive collection of essential math vocabulary tailored for 5th grade students. With this vocabulary in their arsenal, students will be able to confidently tackle math problems related to numbers and operations, geometry, measurement, and data and finance.",https://cdn.vocabulary.com/units/tjkaza6a/feature.png?width=500&v=18c7fcc1990,,,Grade 5,/lists/tjkaza6a/5th-grade-math-terms
Camp Panda,Helping Cubs Return to the Wild,This nonfiction work explains the efforts taken by China and the United States to successfully preserve the giant panda from extinction.,https://cdn.vocabulary.com/units/tl4r6xaq/cover.png?width=220&v=194aeba115e,https://www.amazon.com/dp/0358732891?tag=vocabulary01-20,Catherine Thimmesh,Non-Fiction,/lists/tl4r6xaq/camp-panda
An American Plague,The True and Terrifying Story of the Yellow Fever Epidemic of 1793,"Drawing on medical research, news articles, and firsthand accounts, Jim Murphy traces the yellow fever epidemic of 1793 in this gripping historical account.",https://cdn.vocabulary.com/units/tlaes5y7/cover.jpeg?width=220&v=16c2505fb4a,https://www.amazon.com/dp/0395776082?tag=vocabulary01-20,Jim Murphy,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/tlaes5y7/american-plague
Fallout,"Spies, Superbombs, and the Ultimate Cold War Showdown","In this follow-up to Bomb, the award-winning author shows how the development of the atomic bomb led to tensions between the United States and the Soviet Union that threatened massive destruction for nearly fifty years after World War II.",https://cdn.vocabulary.com/units/tln3hix5/cover.png?width=220&v=19291e93892,https://www.amazon.com/dp/1250149010?tag=vocabulary01-20,Steve Sheinkin,Non-Fiction,/lists/tln3hix5/fallout
The Bean Trees,,"Kingsolver's first novel tells the story of Taylor Greer, who leaves Kentucky and tries to make a life for herself and an orphaned Native American girl in Tucson, Arizona.",https://cdn.vocabulary.com/units/tlq4u3pg/cover.jpeg?width=220&v=16c25683d9b,https://www.amazon.com/dp/0062277758?tag=vocabulary01-20,Barbara Kingsolver,"Grade 10,Grade 11,Literature",/lists/tlq4u3pg/bean-trees
The Last of the Mohicans,A Narrative of 1757,"During the French and Indian War, a British colonist's daughters, their Native American guides, and a scout named Hawkeye attempt a dangerous journey from Fort Edward to Fort Henry.",https://cdn.vocabulary.com/units/tlxxtocf/cover.jpeg?width=220&v=191d6f794ce,https://www.amazon.com/dp/0553213296?tag=vocabulary01-20,James Fenimore Cooper,"Grade 11,Literature",/lists/tlxxtocf/last-of-the-mohicans
The Way Back,,"In this historical fantasy novel, Bluma and Yehuda Leib cross over into the land of the dead.",https://cdn.vocabulary.com/units/tmqszc2a/cover.jpeg?width=220&v=1761a155976,https://www.amazon.com/dp/1984894625?tag=vocabulary01-20,Gavriel Savit,Literature,/lists/tmqszc2a/way-back
Ripped from the Headlines: February 2022,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/to5yzvev/feature.png?width=500&v=1861306bd6e,,,Events,/lists/to5yzvev/ripped-from-the-headlines-february-2022
Simon vs. the Homo Sapiens Agenda,,"In this funny and heartwarming novel, sixteen-year-old Simon Spier finds himself in the middle of a real-life drama when a classmate threatens to expose his secrets. Learn these words from Becky Albertalli's award-winning debut.",https://cdn.vocabulary.com/units/tohqazcg/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/006234868X?tag=vocabulary01-20,Becky Albertalli,Literature,/lists/tohqazcg/simon-vs-the-homo-sapiens-agenda
