Name,Link
The Story of My Life,/lists/jidycf2b/story-of-my-life
Pelé,/lists/lveq2egc/pele
This Side of Wild,/lists/ggacuhex/this-side-of-wild
Smile,/lists/ae7srck7/smile
Sisters,/lists/wufypo3k/sisters
Guts,/lists/fbzgg6pg/guts
When Stars Are Scattered,/lists/b23iccua/when-stars-are-scattered
Astronauts,/lists/wt3c46uo/astronauts
I Was Their American Dream,/lists/rfzmtijj/i-was-their-american-dream
El Deafo,/lists/gu4u67jg/el-deafo
Boy: Tales of Childhood,/lists/355t65nl/boy-tales-of-childhood
The One and Only Ivan,/lists/wwhbu4wt/one-and-only-ivan
The Chocolate Touch,/lists/fyvy2r5m/chocolate-touch
Aru Shah and the End of Time,/lists/w5lfkp5a/aru-shah-and-the-end-of-time
Ice Magic,/lists/vepxbfnc/ice-magic
Muggie Maggie,/lists/i6dxha34/muggie-maggie
Frindle,/lists/pphqmqrj/frindle
The Lemonade War,/lists/of6tqyho/lemonade-war
Because of Winn-Dixie,/lists/qm5on7ah/because-of-winn-dixie
Escape from Mr. Lemoncello's Library,/lists/i2cdiko3/escape-from-mr-lemoncellos-library
Unusual Chickens for the Exceptional Poultry Farmer,/lists/6j6hmzop/unusual-chickens-for-the-exceptional-poultry-farmer
Time for Andrew: A Ghost Story,/lists/ue4qfulk/time-for-andrew-a-ghost-story
Sheep,/lists/huwslzl6/sheep
Masterminds,/lists/6ol73mc7/masterminds
Be a Perfect Person in Just Three Days!,/lists/mv57m5lg/be-a-perfect-person-in-just-three-days
Clementine,/lists/azf5queg/clementine
Holes,/lists/ctmx4n72/holes
Fourth Grade Rats,/lists/7sj5qtfh/fourth-grade-rats
"I Survived the Great Molasses Flood, 1919",/lists/ajvpnmxv/i-survived-the-great-molasses-flood-1919
The Boxcar Children,/lists/np7xidjy/boxcar-children
"Love, Ruby Lavender",/lists/sqat4utc/love-ruby-lavender
The Castle in the Attic,/lists/o7pjebol/castle-in-the-attic
Front Desk,/lists/wrl3j254/front-desk
The One and Only Ivan,/lists/wwhbu4wt/one-and-only-ivan
Aru Shah and the End of Time,/lists/w5lfkp5a/aru-shah-and-the-end-of-time
The Losers Club,/lists/sdm4zbht/losers-club
New Kid,/lists/gxipmj27/new-kid
Because of Winn-Dixie,/lists/qm5on7ah/because-of-winn-dixie
Phineas L. MacGuire...Erupts!,/lists/3ubaoalv/phineas-l-macguire-erupts
By the Great Horn Spoon!,/lists/7d34ll2z/by-the-great-horn-spoon
Escape from Mr. Lemoncello's Library,/lists/i2cdiko3/escape-from-mr-lemoncellos-library
Winterhouse,/lists/qlqfwnzc/winterhouse
Time for Andrew: A Ghost Story,/lists/ue4qfulk/time-for-andrew-a-ghost-story
Sheep,/lists/huwslzl6/sheep
The Lion of Mars,/lists/enrs4ub5/lion-of-mars
Redwall,/lists/roplgk7z/redwall
Unusual Chickens for the Exceptional Poultry Farmer,/lists/6j6hmzop/unusual-chickens-for-the-exceptional-poultry-farmer
Ella Enchanted,/lists/wxuql44w/ella-enchanted
Number the Stars,/lists/hgng7spy/number-the-stars
Be a Perfect Person in Just Three Days!,/lists/mv57m5lg/be-a-perfect-person-in-just-three-days
Bob,/lists/d6rmkdu2/bob
Wonder,/lists/qfcsddo4/wonder
Hatchet,/lists/ph5srg6j/hatchet
Clementine,/lists/azf5queg/clementine
Esperanza Rising,/lists/6zody5y3/esperanza-rising
Baseball in April,/lists/muhxwac2/baseball-in-april
Fourth Grade Rats,/lists/7sj5qtfh/fourth-grade-rats
"I Survived the American Revolution, 1776",/lists/uhqejv3v/i-survived-the-american-revolution-1776
On the Banks of Plum Creek,/lists/qmdbjdrv/on-the-banks-of-plum-creek
"Love, Ruby Lavender",/lists/sqat4utc/love-ruby-lavender
The Castle in the Attic,/lists/o7pjebol/castle-in-the-attic
Front Desk,/lists/wrl3j254/front-desk
150 Words Every 5th Grader Should Know How to Spell,/lists/4bm6w32e/words-every-5th-grader-should-know-how-to-spell
Writing in the Classroom: Introductory,/lists/4shs46lu/writing-in-the-classroom-introductory
Creative Writing: Introductory,/lists/rjavh7oq/creative-writing-introductory
Argumentative Writing,/lists/dldjvvte/argumentative-writing
Narrative Writing,/lists/cviig5us/narrative-writing
Expository Writing,/lists/imiygxns/expository-writing
Said is Dead,/lists/n3wg3knp/said-is-dead
Positive and negative words to describe a person,/lists/txuwd4w7/positive-and-negative-words-to-describe-a-person
Idioms and expressions,/lists/kklvpaqe/idioms-and-expressions
Physical Geography,/lists/g3n54qto/5th-grade-physical-geography
Human Geography,/lists/ym32ly3h/5th-grade-human-geography
World Cuisine,/lists/kw7luszc/5th-grade-world-cuisine
Government and Economics,/lists/3mqwssvs/5th-grade-government-and-economics
Mardi Gras,/lists/h3ggo73i/mardi-gras
Earth Day,/lists/qwasha3x/earth-day
Presidents' Day,/lists/izmfh6e4/presidential-parlance
Mardi Gras,/lists/h3ggo73i/mardi-gras
Juneteenth,/lists/zcxz7e62/juneteenth
Independence Day,/lists/62rs2ea3/stars-and-stripes
Indigenous Peoples' Day,/lists/r5v5e6qf/indigenous-peoples-day
Thanksgiving,/lists/qvh7gvbh/feast-on-this-cornucopia-of-tasty-terms
Math Vocabulary,/lists/tjkaza6a/5th-grade-math-terms
Amazing Animals,/lists/j5vdisvd/amazing-animals
Grade 5,/lists/jmyhkclb/journeys-grade-5
Grade 6,/lists/dmg45tb7/journeys-grade-6
"Greetings, World Traveler",/lists/xlix4y3s/greetings-world-traveler
What’s in a Name?,/lists/6npww45i/whats-in-a-name
The Wide Words of Sports,/lists/iofdi62y/wide-words-of-sports
