word,pronunciation
treasonous,/ˈtrizənəs/
subvert,/səbˈvʌt/
caprine,/ˌkæˈpraɪn/
corvine,/ˌkɔrˈvaɪn/
elephantine,/ˌɛləˈfænˌtin/
leonine,/ˌliəˈnaɪn/
ovine,/ˌoʊˈvaɪn/
flutter,/ˈflʌtə/
gallop,/ˈgæləp/
slither,/ˈslɪðə/
steal,/stil/
waddle,/ˈwɒdəl/
aerie,/ˈɛri/
flock,/flɒk/
incubate,/ˈɪnkjuˌbeɪt/
perch,/pətʃ/
ape,/eɪp/
crane,/kreɪn/
ferret,/ˈfɛrɪt/
algae,/ˈælʤi/
angler,/ˈæŋglər/
barnacle,/ˈbɑnəkəl/
crustacean,/krəˈsteɪʃən/
gill,/ɡɪl/
hoof,/hʊf/
amenable,/əˈmɛnəbəl/
companion,/kəmˈpænjən/
domesticated,/dəˈmɛstɪkeɪtɪd/
pedigree,/ˈpɛdɪgri/
kennel,/ˈkɛnəl/
frisky,/ˈfrɪski/
carnivore,/ˈkɑnɪvɔ/
retractable,/riˈtræktəbəl/
aardvark,/ˈɑdvɑk/
anchovy,/ˈæntʃəʊvi/
aphid,/ˈeɪfɪd/
armadillo,/ɑməˈdɪləʊ/
barracuda,/bɑrəˈkudə/
caribou,/ˈkærɪbu/
caterpillar,/ˈkætəpɪlə/
chinook,/tʃəˈnʊk/
bald eagle,/bɔld ˈigəl/
chicken,/ˈtʃɪkɪn/
dove,/dʌv/
egret,/ˈigrɪt/
goose,/gus/
hoopoe,/ˈhupəʊ/
kestrel,/ˈkɛstrəl/
kiwi,/ˈkiwi/
ostrich,/ˈɒstrɪtʃ/
parrot,/ˈpærət/
pigeon,/ˈpɪdʒən/
blue jay,/blu dʒeɪ/
cassowary,/ˈkæsəwəri/
condor,/ˈkɒndɔ/
cuckoo,/ˈkuku/
duck,/dək/
emu,/ˈimju/
heron,/ˈhɛrən/
hummingbird,/ˈhʌmɪŋbəd/
aromatic,/ɛrəˈmætɪk/
bouquet,/bəʊˈkeɪ/
effluvium,/ɪˈfluviəm/
perfume,/ˈpʌfjum/
creak,/krik/
euphonious,/yuˈfoʊniəs/
gurgle,/ˈgʌgəl/
sonic,/ˈsɒnɪk/
thorny,/ˈθɔni/
velvety,/ˈvɛlvɪti/
saccharine,/ˈsækərən/
scrumptious,/ˈskrʌmpʃəs/
zesty,/ˈzɛsti/
beam,/bim/
gaze,/geɪz/
glance,/glɑns/
goggle,/ˈgɒgəl/
squint,/skwɪnt/
stare,/stɛə/
ditty,/ˈdɪti/
disparaging,/dɪˈspɛrɪdʒɪŋ/
jest,/dʒɛst/
trite,/traɪt/
verbose,/vəˈbʌʊs/
lieu,/lu/
waffle,/ˈwɒfəl/
cog,/kɒg/
objectify,/əbˈdʒɛktɪfaɪ/
decimate,/ˈdɛsɪmeɪt/
traverse,/trəˈvʌs/
spar,/spɑ/
vested,/ˈvɛstɪd/
baseless,/ˈbeɪslɪs/
alcohol,/ˈælkəhɒl/
artichoke,/ˈɑtɪtʃəʊk/
aubergine,/ˈʌʊbəʒin/
caraway,/ˈkærəweɪ/
coffee,/ˈkɒfi/
lemon,/ˈlɛmən/
lime,/laɪm/
mocha,/ˈmɒkə/
spinach,/ˈspɪnɪtʃ/
syrup,/ˈsɪrəp/
tamarind,/ˈtæmərɪnd/
tangerine,/tændʒəˈrin/
afghan,/ˈæfˌɡæn/
algebra,/ˈældʒəbrə/
assassinate,/əˈsæsɪneɪt/
caliph,/ˈkælɪf/
cushy,/ˈkʊʃi/
bandana,/bænˈdænə/
chit,/tʃɪt/
punch,/pəntʃ/
shampoo,/ʃæmˈpu/
toddy,/ˈtɑdi/
pastrami,/pəˈstrɒmi/
dreck,/drɛk/
mensch,/mɛnʃ/
shtick,/ʃtɪk/
schlock,/ʃlɑk/
glitz,/glɪts/
schmooze,/ʃmuz/
blintz,/blɪnts/
lox,/lɒks/
nosh,/nɑʃ/
dybbuk,/ˈdɪbək/
whiskey,/ˈwɪski/
bob,/bɒb/
trouser,/ˈtraʊzə/
loop,/lup/
forsythia,
curd,/kərd/
geyser,/ˈgaɪzə/
muggy,/ˈmʌgi/
steak,/steɪk/
whirl,/wəl/
sasquatch,/ˈsæskwætʃ/
jalapeno,/ˌhæləˈpinjoʊ/
